CODIGO_MUNICIPIO,DATE,UF,NOME_MUNICIPIO
330455,01/01/2021,AM,Borba
150611,01/01/2021,PA,Quatipuru
150796,01/01/2021,PA,Terra Alta
170770,01/01/2021,TO,Filadélfia
171370,01/01/2021,TO,Monte Santo do Tocantins
172049,01/01/2021,TO,São Valério
172130,01/01/2021,TO,Tupiratins
210237,01/01/2021,MA,Cachoeira Grande
210390,01/01/2021,MA,Duque Bacelar
210570,01/01/2021,MA,Lago da Pedra
220005,01/01/2021,PI,Acauã
220030,01/01/2021,PI,Alto Longá
220860,01/01/2021,PI,Prata do Piauí
260760,01/01/2021,PE,Ilha de Itamaracá
261280,01/01/2021,PE,Santa Terezinha
261510,01/01/2021,PE,Terezinha
270290,01/01/2021,AL,Girau do Ponciano
270300,01/01/2021,AL,Ibateguara
280670,01/01/2021,SE,São Cristóvão
310020,01/01/2021,MG,Abaeté
310050,01/01/2021,MG,Açucena
310080,01/01/2021,MG,Aguanil
310163,01/01/2021,MG,Alfredo Vasconcelos
310390,01/01/2021,MG,Araújos
310500,01/01/2021,MG,Baldim
310540,01/01/2021,MG,Barão de Cocais
310570,01/01/2021,MG,Barra Longa
310870,01/01/2021,MG,Brás Pires
311250,01/01/2021,MG,Capim Branco
311265,01/01/2021,MG,Capitão Andrade
311300,01/01/2021,MG,Caraí
311360,01/01/2021,MG,Careaçu
311460,01/01/2021,MG,Carrancas
311545,01/01/2021,MG,Catuji
311690,01/01/2021,MG,Comendador Gomes
311700,01/01/2021,MG,Comercinho
311710,01/01/2021,MG,Conceição da Aparecida
311740,01/01/2021,MG,Conceição de Ipanema
311920,01/01/2021,MG,Coroaci
311980,01/01/2021,MG,Córrego Danta
312015,01/01/2021,MG,Crisólita
312330,01/01/2021,MG,Dores do Turvo
312385,01/01/2021,MG,Entre Folhas
312460,01/01/2021,MG,Estrela Dalva
312595,01/01/2021,MG,Fervedouro
312760,01/01/2021,MG,Gouveia
312930,01/01/2021,MG,Iapu
313005,01/01/2021,MG,Icaraí de Minas
313115,01/01/2021,MG,Ipaba
313320,01/01/2021,MG,Itanhomi
313430,01/01/2021,MG,Itumirim
313507,01/01/2021,MG,Jampruca
313545,01/01/2021,MG,Jenipapo de Minas
313700,01/01/2021,MG,Ladainha
313865,01/01/2021,MG,Lontra
313870,01/01/2021,MG,Luminárias
313890,01/01/2021,MG,Machacalis
313925,01/01/2021,MG,Mamonas
314055,01/01/2021,MG,Mata Verde
314085,01/01/2021,MG,Matias Cardoso
314100,01/01/2021,MG,Mato Verde
314345,01/01/2021,MG,Montezuma
314520,01/01/2021,MG,Nova Serrana
314530,01/01/2021,MG,Novo Cruzeiro
314830,01/01/2021,MG,Paula Cândido
315030,01/01/2021,MG,Piedade do Rio Grande
315050,01/01/2021,MG,Pimenta
315200,01/01/2021,MG,Pompéu
315240,01/01/2021,MG,Poté
315310,01/01/2021,MG,Presidente Bernardes
315340,01/01/2021,MG,Presidente Olegário
315350,01/01/2021,MG,Alto Jequitibá
315410,01/01/2021,MG,Recreio
315430,01/01/2021,MG,Resplendor
315445,01/01/2021,MG,Riachinho
315727,01/01/2021,MG,Santa Bárbara do Monte Verde
315800,01/01/2021,MG,Santa Maria de Itabira
315850,01/01/2021,MG,Santana de Pirapama
315920,01/01/2021,MG,Santa Rita de Caldas
315935,01/01/2021,MG,Santa Rita de Minas
316257,01/01/2021,MG,São João do Manteninha
316270,01/01/2021,MG,São João do Paraíso
316295,01/01/2021,MG,São José da Lapa
316390,01/01/2021,MG,São Pedro da União
316450,01/01/2021,MG,São Sebastião do Maranhão
316557,01/01/2021,MG,Senador Amaral
316610,01/01/2021,MG,Senhora do Porto
316820,01/01/2021,MG,Tapiraí
316970,01/01/2021,MG,Turmalina
317005,01/01/2021,MG,Ubaporanga
317030,01/01/2021,MG,Umburatiba
317052,01/01/2021,MG,Urucuia
317110,01/01/2021,MG,Veríssimo
317190,01/01/2021,MG,Virgolândia
354625,01/01/2021,SP,Santa Cruz da Esperança
